numberOfViews,m,name,video_id,category,created,creator,location,length,actors0,actors1,actors2,actors3,actors4,user_id,fullname,age,gender,average_watch_time
1,0.855,Memories Are Made of This,00124cac-bb62-44dc-bc69-42c7bf4a9851,Funk,2021-04-07T17:46:35.890Z,Francis Ford Coppola,Mexico,19,Lucian Büttner,Anja Peter,Elia Geyer,Laureen Geissler,Cora Jamrozy,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.64,The Tracks of My Tears,01527c6b-9115-4518-9697-0504c0ca91b2,Hip Hop,2001-12-09T21:16:35.975Z,Hayao Miyazaki,Mexico,25,Melinda Reimann,Cora Jamrozy,Nora Naubert,Sienna Schultz,,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,3.08,(They Long to Be) Close to You,018af559-f6dd-41d2-bc6f-02aabe457261,Pop,2013-03-17T00:32:50.089Z,Hayao Miyazaki,Mexico,25,Levi Decker,Jens Will,Sebastian Greb,Sienna Schultz,Tessa Kleinmann,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,2.955,Runaway,02464549-71bb-45a3-b62f-a8bb16ac48af,Country,2000-12-20T16:46:39.483Z,James Cameron,Mexico,13,Claas Bauer,Levi Decker,Denise Muckenthaler,Prof. Dr. Claas Zaituc,Wibke Neuschwander,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0,Take On Me,034e801f-1b15-4630-bf11-9d84f3952376,Metal,2006-11-06T20:18:39.195Z,Francis Ford Coppola,Mexico,9,Magdalena Schönball,Paul Klapper,Cora Jamrozy,Lynn Brinkmann,,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.225,Hello Dolly,03bd114b-e40e-4890-ac61-97f353a3532a,Pop,2016-01-07T06:26:25.862Z,Martin Scorsese,Mexico,22,Ina Ewald,Dr. Paulina Ophey,Theresa Pressler,Mirco Hartz,Tiago Forkel,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.28500000000000003,Time After Time,03c70a94-4b07-4782-8c79-f4b556effa23,Rock,2005-05-05T13:18:00.263Z,James Cameron,Mexico,10,Anja Peter,Sönke Mues,Lian Komoll,James Franke,,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
2,1.6400000000000001,Mack the Knife,03fb5112-045f-4807-b55b-bea06882307f,Rock,2006-07-11T17:20:33.511Z,Steven Spielberg,Mexico,12,Patrice Evers,Lennie Mattern,Neele Alizadeh,Marc Nastvogel,Tessa Kleinmann,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.25,Do Ya Think I'm Sexy?,04634cc6-518f-469f-b78d-9a3cc5245e16,Stage And Screen,2020-12-15T08:44:27.911Z,Christopher Nolan,Mexico,11,Pit Benzing,Liz Moormann,Finnley Heiser,,,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.5800000000000001,This Love,05cf2bce-cfa6-41ae-8b47-780e04a1effe,Soul,2016-06-26T03:55:37.740Z,James Cameron,Mexico,14,Tiago Forkel,Peter Stolz,Lian Komoll,Niclas Huth,Gianluca Köseoglu,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
2,1.5,Minnie the Moocher,0629cd0e-7b56-4720-a13c-08b38f21e753,Blues,2016-12-01T13:14:54.017Z,Francis Ford Coppola,Mexico,10,Pit Benzing,Norman Gerschler,Melissa Hildenbrand,Charlotta Tischler,Sienna Schultz,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.225,Down Hearted Blues,064a77b1-5897-4f6e-b7b6-3cd7ccdd40fa,Electronic,2012-11-24T04:29:27.937Z,Quentin Tarantino,Mexico,10,Aurora Vater,Nathan Zimanyi,Andrew Schellenbeck,Sebastian Greb,Loris Porsche,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.62,You Don't Have to Be a Star (To Be in My Show),08b95ee2-eea8-49ef-aff6-eeb76363a827,World,2020-09-07T18:29:27.812Z,Alfred Hitchcock,Mexico,25,Andrew Schellenbeck,Charlotta Tischler,Hagen Spitzmüller,Alexia Lübke,Levin Balck,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.25,We Can Work it Out,08c3052e-2b3f-4df8-9369-0cea82cb500a,Reggae,2003-06-21T13:43:38.666Z,Quentin Tarantino,Mexico,21,Levi Decker,Cora Jamrozy,Anton Daudrich,Maryam Briesenick,Wibke Neuschwander,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,2.705,(Let Me Be Your) Teddy Bear,0b264d84-63bb-401c-ad85-bdb8ef4cb75e,World,2019-06-15T09:20:35.136Z,James Cameron,Mexico,10,Neele Alizadeh,Luca Streese,Theresa Pressler,Peter Stolz,Finnley Heiser,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.245,How You Remind Me,0b8c009a-2ec8-47fa-a1fb-4c40ba7506ca,World,2001-05-11T15:11:37.764Z,Christopher Nolan,Mexico,30,Franziska Abraham,Theresa Pressler,Maik Balnuweit,Yannis Alizadeh,Aimee Bogdashin,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.37,Runaround Sue,0bac60d5-d693-48f7-99f1-e6171a6a533e,Soul,2015-05-05T10:53:03.775Z,Stanley Kubrick,Mexico,21,Leonora Mulrain,Prof. Dr. Claas Zaituc,Norman Gerschler,Loris Porsche,Ana Hillard,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.20500000000000002,One Bad Apple,0e410c5d-d316-4fad-adfa-a44faa932be1,World,2011-08-31T11:22:05.903Z,Francis Ford Coppola,Mexico,30,Oke Schultze,Franz Illing,Sienna Schultz,Andrew Schellenbeck,Niclas Huth,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
2,1.6,You Can't Hurry Love,0e685c83-d815-411e-9e3a-d3523a7ebe97,World,2014-10-05T02:52:53.483Z,James Cameron,Mexico,12,Viktoria Blank,Lynn Brinkmann,Prof. Dr. Tom Zahn,Laureen Geissler,Eva Wiechmann,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.37,Tha Crossroads,0e87c5fd-d62d-40e9-8ef2-c4ba17ed5f1b,Jazz,2013-10-27T14:20:24.157Z,Spike Lee,Mexico,11,Vin Forst,Maik Balnuweit,Ron Manns,Neele Alizadeh,Marc Nastvogel,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
2,4.08,Boogie Oogie Oogie,10caf6ae-57be-41ab-9e23-dd5aa4e1453d,Hip Hop,2021-04-16T07:50:22.661Z,James Cameron,Mexico,26,Melissa Hildenbrand,Wibke Neuschwander,Claas Bauer,Levi Decker,Melinda Reimann,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.35,Dardanella,1387efe7-cf54-47b7-ab80-6baa8f3e89f5,Hip Hop,2020-05-06T16:24:23.367Z,Christopher Nolan,Mexico,21,Damien Morhelfer,Julian Kobs,Lucian Büttner,Andrew Schellenbeck,Dennis Steinert,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.16,Vaya Con Dios (may God Be With You),15bf35c8-28ed-4c90-977f-49bebffe0922,Jazz,2011-07-17T16:18:00.993Z,Christopher Nolan,Mexico,5,Claas Bauer,Sönke Mues,Kim Platzer,Sienna Schultz,,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.1,Gold Digger,1abec74c-e919-4ff4-a18b-369d1d698979,Latin,2021-08-04T19:51:35.816Z,Quentin Tarantino,Mexico,7,Ron Manns,Aurora Vater,Jens Will,Sebastian Greb,Joe Smith,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.475,Dreams,1bcabb6c-188b-4dc5-a84f-e1a05fe2e3b3,Pop,2016-02-08T07:28:21.488Z,James Cameron,Mexico,13,Sofia Marxen,Lennie Mattern,Hagen Spitzmüller,Oke Mensing,Richard Moser,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.16,Can You Feel the Love Tonight,1cf9f4dd-a17c-4e8a-89b0-075abfe3ec2d,Country,2010-02-28T21:18:19.423Z,Quentin Tarantino,Mexico,2,Wibke Neuschwander,Melissa Hildenbrand,Lennie Mattern,Viktoria Blank,Aimee Bogdashin,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0,Heart of Gold,1f978f3a-7056-436e-b62c-418b37b7b543,Latin,2016-09-14T23:57:44.148Z,Martin Scorsese,Mexico,3,Laureen Geissler,Lennie Mattern,Oke Schultze,Lian Komoll,Melinda Reimann,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.08,One of These Nights,20d44016-5144-4954-a2a7-73ca7993bafb,Stage And Screen,2001-08-17T03:50:39.720Z,James Cameron,Mexico,3,Magdalena Schönball,Laureen Geissler,Anja Heydemüller,Anton Daudrich,Jeremie Theele,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.245,A Woman in Love,21aec252-4e73-4d76-b798-2ff8b90a8dc5,Non Music,2006-05-16T08:19:56.186Z,Hayao Miyazaki,Mexico,22,Sienna Schultz,Damien Morhelfer,James Franke,Malia De,Levin Balck,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.62,Maniac,242b5e5e-201f-44c4-b317-682f616ffb69,Country,2007-02-07T10:25:57.546Z,Christopher Nolan,Mexico,24,Dr. Paulina Ophey,Prof. Dr. Claas Zaituc,Oke Schultze,Ron Manns,Jens Will,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.5800000000000001,Baby Got Back,26465795-7960-4dd1-811f-babbc5cbf6b8,Metal,2014-10-27T12:45:34.109Z,Martin Scorsese,Mexico,15,Sönke Mues,James Franke,Prof. Dr. Tom Zahn,Karim Neubauer,Oke Mensing,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
1,0.73,Soul Man,26e8554d-e4c8-426c-be06-a3de97068a69,Funk,2003-01-09T11:25:44.784Z,Francis Ford Coppola,Mexico,11,Dennis Steinert,Jonte Kron,Julian Wollenberg,Ivan Poschmann,Sienna Schultz,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
2,4.08,Breaking Up is Hard to Do,2954b965-a881-45d8-a798-686c6c7e9341,Classical,2005-01-03T14:15:50.145Z,Christopher Nolan,Mexico,26,Pit Benzing,Liz Moormann,Lynn Brinkmann,Vivienne Buchrucker,Richard Moser,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.5800000000000001,Hello Dolly,2980b242-3910-4d5c-b1d1-e29d17036f00,Classical,2019-02-08T07:46:13.000Z,Spike Lee,Mexico,17,Jonte Kron,Levin Balck,Luca Streese,Cora Jamrozy,Paul Klapper,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.35,Come On-a My House,2a01b54b-a787-422e-80e5-97a4fb4c510d,Country,2018-02-03T23:43:57.587Z,Stanley Kubrick,Mexico,11,Tessa Kleinmann,Loris Porsche,Maryam Briesenick,Kim Platzer,Peter Stolz,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.1,Disco Lady,2ab7c448-29c4-4577-b176-3a7469712024,Blues,2012-06-11T10:06:49.489Z,Steven Spielberg,Mexico,6,Alexia Lübke,Norman Gerschler,Fiona Motzenbbäcker,Prof. Dr. Mads Humbert,Denise Muckenthaler,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.225,Summertime Blues,2b938d40-13d3-437c-b08a-71ba58ab14c7,Pop,2013-09-04T18:36:26.802Z,Spike Lee,Mexico,30,Magdalena Schönball,Prof. Dr. Mads Humbert,Carlotta Elbe,Nora Naubert,Franziska Abraham,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,2.58,Monday Monday,2c917712-1829-4cf8-82e2-06fb205fb6fd,Electronic,2022-10-02T09:57:15.425Z,Stanley Kubrick,Mexico,1,Eva Wiechmann,Oke Schultze,Ivan Poschmann,Richard Moser,Malia De,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.12000000000000001,I Swear,2d74e13d-92b0-4488-b6ee-b93916f82a14,Folk,2004-08-23T21:49:44.545Z,Hayao Miyazaki,Mexico,0,Kim Platzer,Patrice Evers,Henrike Fricke,Prof. Dr. Mads Humbert,Emmely Rohrer,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.475,Don't Be Cruel,2e4b49ca-61ca-4334-96e8-e3caff471a0e,Soul,2014-08-14T15:17:42.934Z,James Cameron,Mexico,20,Peter Stolz,Melinda Reimann,Maik Balnuweit,Tessa Kleinmann,Frau Josephine Rittweg,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.25,Thriller,3066fe55-2508-4001-aa5f-e73cfbb71101,Metal,2012-10-18T15:30:12.647Z,Christopher Nolan,Mexico,11,Julian Wollenberg,Lian Komoll,Dr. Paulina Ophey,Anja Peter,Lynn Brinkmann,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.6,Unbelievable,30851b2c-1a0c-4c79-846d-ba6ed243b6c3,Non Music,2004-08-24T13:10:40.325Z,Stanley Kubrick,Mexico,17,Jonte Kron,Levin Balck,Aurora Vater,Oke Schultze,Norman Gerschler,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.08,Mr Tambourine Man,3090fbdd-99ac-4dbc-84f1-adff5901f150,Funk,2006-11-08T21:25:54.628Z,Hayao Miyazaki,Mexico,7,Karim Neubauer,Nathan Zimanyi,Pit Benzing,Eva Wiechmann,Lucian Büttner,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.125,The Last Dance,3167f02e-06b2-49e6-9cc1-66e2df27f979,Funk,2015-04-12T05:37:32.962Z,Hayao Miyazaki,Mexico,22,Franz Illing,Ana Hillard,Tessa Kleinmann,Ina Ewald,Wibke Neuschwander,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.785,Mmmbop,3275a9dc-9d5e-4c5e-9985-dbc10882bbdd,Rap,2007-07-06T06:28:16.790Z,Christopher Nolan,Mexico,16,Vivienne Buchrucker,Liz Moormann,Yunus Kaul,Nora Naubert,Ina Ewald,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.5800000000000001,Like a Prayer,33890311-1a24-4f44-a279-d24a524523cf,Rock,2019-09-22T22:54:03.317Z,Quentin Tarantino,Mexico,17,Maike Koubaa,Malia De,Yunus Kaul,Franz Illing,Tiago Forkel,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.1,Smoke! Smoke! Smoke! (That Cigarette),3621e06f-eb0f-4cde-ae7b-8b0484944a4a,Hip Hop,2003-06-07T06:17:34.611Z,Spike Lee,Mexico,8,Mirco Hartz,Melinda Reimann,Pit Benzing,Jonte Kron,Dr. Jolin Benzing,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.12000000000000001,How to Save a Life,37c4486c-6b45-4474-9359-49a690c29c3d,Blues,2018-09-16T22:26:23.240Z,Spike Lee,Mexico,7,Aliya Cors,Emmely Rohrer,Gianluca Köseoglu,Eva Wiechmann,Jeremie Theele,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.475,Hips don't lie,38395f9b-34a8-4c31-a91a-f09213d2ac6e,Rap,2009-08-29T05:18:37.993Z,Francis Ford Coppola,Mexico,19,Maike Koubaa,Yunus Kaul,Claas Bauer,Sebastian Greb,Andrew Schellenbeck,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,2.955,The Last Dance,3a19e353-012a-4620-a1bb-9dd4abab3b52,Jazz,2013-12-09T00:49:30.701Z,Alfred Hitchcock,Mexico,13,Levin Balck,Thomas Holdt,Dr. Jolin Benzing,Vivienne Buchrucker,,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.12000000000000001,Hey There Delilah,3d0d400f-b647-4092-8130-e8665ba94992,Latin,2013-06-10T19:53:57.588Z,Steven Spielberg,Mexico,5,Ron Manns,Fiona Motzenbbäcker,Levi Decker,Nathan Zimanyi,Vin Forst,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.375,Because of You,3d994778-7d7c-46dc-acfe-4ec379da20c4,Blues,2012-08-08T04:51:09.518Z,Spike Lee,Mexico,13,Riccardo Tischmann,Sienna Schultz,Richard Moser,Franz Illing,Denise Muckenthaler,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.33,Ol' Man River,42265e05-fae9-4c84-a41d-1a202078ae0d,Stage And Screen,2006-10-05T22:13:46.976Z,Alfred Hitchcock,Mexico,21,Liz Moormann,Sönke Mues,Andrew Schellenbeck,Aliya Cors,Liana Herrmann,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
0,0.33,Aquarius/Let The Sunshine In,425120f2-f7bb-4890-bed9-54a8a93db7f0,Rap,2002-01-05T03:26:23.649Z,Alfred Hitchcock,Mexico,21,Maik Sagonas,Carlotta Elbe,Malia De,Loris Porsche,Jeremie Theele,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
2,1.6600000000000001,Livin' On a Prayer,439240f2-bad5-4c07-8fb9-307ae89742af,Classical,2001-05-12T01:18:56.968Z,Spike Lee,Mexico,26,Nathan Zimanyi,Nora Naubert,Laureen Geissler,Anja Heydemüller,Gianluca Köseoglu,00e6d9e9-f5bb-49a5-9e16-af3dd2ba9e3f,Naomi Mallmann,11,Female,28
